,text,first_name,last_name,gender,archetype,label,count,max_proper_mention,poss,agent,patient,mod
3465100,"*Winner 2010 White Pine Award
*Shortlisted for three 2008 Saskatchewan Book Awards: Fiction, First Book, and City of Saskatoon
Caught in the tight space between love and fear, Bean gallops through her early life picking up shiny bits of beauty along the way and tucking them into a red Samsonite suitcase. This suitcase, a dominant metaphor in the novel, becomes Bean's touchstone that keeps her from spiraling into the dark worlds of her beautiful, screwed up mother and all the stray men she brings home; her sad, exhausted father; and her magnetic stepfather as he transforms from family saviour into drunken dragon.
Without remorse or bitterness Bean moves forward, seeking her friendships where she can, casting spells to protect her younger sister, and seeking solace from whatever small sanctuaries her transient life offers.
From engaging episodes as a religious-sponsored youth missionary in England and Europe, to the orchestrated pursuit of becoming an actress in Toronto, to the novel's end in Wyoming, Bean's life is as relentlessly whimsical as it is sad. And as she migrates from schoolgirl to teen to young woman, and her dreams unfold from grill cheese sandwiches to self-sufficiency, she evolves into one of fiction's most memorable characters.",Bean,,female,Explorer,INDEPENDENCE,64,Bean,"[('life', 4), ('mom', 4), ('father', 2), ('stepfather', 2), ('touchstone', 1), ('beautiful', 1), ('friendships', 1), ('sister', 1), ('offers', 1), ('dreams', 1)]","[('gets', 3), ('had', 3), ('tries', 2), ('realizes', 2), ('gallops', 1), ('brings', 1), ('casting', 1), ('seeking', 1), ('migrates', 1), ('unfold', 1)]","[('keeps', 1), ('messed', 1), ('marries', 1)]","[('young', 1), ('inspiration', 1)]"
25183888,"Sometimes danger is hard to see... until it's too late.
Britt Pfeiffer has trained to backpack the Teton Range, but she isn't prepared when her ex-boyfriend, who still haunts her every thought, wants to join her. Before Britt can explore her feelings for Calvin, an unexpected blizzard forces her to seek shelter in a remote cabin, accepting the hospitality of its two very handsome occupants--but these men are fugitives, and they take her hostage.
In exchange for her life, Britt agrees to guide the men off the mountain. As they set off, Britt knows she must stay alive long enough for Calvin to find her. The task is made even more complicated when Britt finds chilling evidence of a series of murders that have taken place there... and in uncovering this, she may become the killer's next target.
But nothing is as it seems in the mountains, and everyone is keeping secrets, including Mason, one of her kidnappers. His kindness is confusing Britt. Is he an enemy? Or an ally?
BLACK ICE is New York Times bestselling author Becca Fitzpatrick's riveting romantic thriller set against the treacherous backdrop of the mountains of Wyoming. Falling in love should never be this dangerous...",Britt,Pfeiffer,female,Lover,BELONGING,17,Britt,"[('worship', 1)]","[('trained', 2), ('wants', 2), ('explore', 2), ('agrees', 2), ('knows', 2), ('finds', 2)]","[('confusing', 2)]",[]
28449727,"Star Wars meets Romeo and Juliet in this epic YA novel that follows two best friends who find themselves on opposite sides of the war between the Empire and the Rebellion.
This thrilling YA novel gives readers a macro view of some of the most important events in the Star Wars universe: from the purge of the Jedi in Episode III, to the beginnings of the rebellion in Star Wars Rebels, and through the fall of the Empire in Episodes IV-IV. Readers will experience these major moments through the eyes of two best friends who grow up in these troubling times, and find themselves on opposite sides of the war.
As with other Journey to Episode VII titles, hints about the upcoming film will be included in the narrative, as well a original, post-Episode VI content that sets up the new film.
DUAL NARRATIVE: Chapters alternate perspectives between our two protagonists - one a Rebel pilot, the other an Imperial officer. By exploring these two different worlds, readers will experience many of the major moments in the original Star Wars trilogy - from the destruction of the Death Star to the battle of Hoth - through these two characters' eyes.",Episode,,other,None,NONE,0,,,,,
16372746,"It happened like this. I was stolen from an airport. Taken from everything I knew, everything I was used to. Taken to sand and heat, dirt and danger. And he expected me to love him.
This is my story.
A letter from nowhere. 
Sixteen year old Gemma is kidnapped from Bangkok airport and taken to the Australian Outback. This wild and desolate landscape becomes almost a character in the book, so vividly is it described. Ty, her captor, is no stereotype. He is young, fit and completely gorgeous. This new life in the wilderness has been years in the planning. He loves only her, wants only her. Under the hot glare of the Australian sun, cut off from the world outside, can the force of his love make Gemma love him back?
The story takes the form of a letter, written by Gemma to Ty, reflecting on those strange and disturbing months in the outback. Months when the lines between love and obsession, and love and dependency, blur until they don't exist - almost.",Gemma,,female,Innocent,INDEPENDENCE,3,Gemma,[],"[('love', 1), ('written', 1)]","[('kidnapped', 1)]",[]
32574781,"How can you hate someone in the present and love them in the past?
Fliss's mum needs peace and quiet to recuperate from a long illness, so they both move to the countryside to live with Margot, Fliss's stern and bullying grandmother. Life on the farm is tough and life at school is even tougher, so when Fliss unearths Margot's wartime diary she sees an opportunity to get her own back,
But Fliss soon discovers Margot's life during the evacuation was full of adventure, mystery ... and even passion. What's more, she learns a terrible secret that could tear her whole family apart...",Fliss,,female,Explorer,INDEPENDENCE,82,Fliss,"[('grandmother', 7), ('mum', 2), ('school', 2), ('story', 2), ('own', 1), ('family', 1), ('mother', 1), ('time', 1), ('journey', 1), ('anxiety', 1)]","[('discovers', 4), ('found', 2), ('unearths', 1), ('sees', 1), ('learns', 1), ('struggles', 1), ('comes', 1), ('expected', 1), ('knew', 1), ('love', 1)]","[('like', 1), ('liking', 1), ('found', 1), ('judging', 1), ('know', 1)]","[('selfless', 1), ('fitting', 1), ('brat', 1), ('rude', 1), ('superior', 1)]"
13495244,"Life as a mermaid can be suffocating. Eviana Dumahl has returned home as a clan leader, an orphan, and a heartbroken teenage girl. Her parents are dead and her boyfriend, Brendan, has decided that he needs some time away. While battling her inner turmoil, Eviana is forced into the war that Lucian Sutherland has incited amongst her own kind. With the help of Kain, her friend and formally betrothed, the two work together to prove that they deserve their birthrights as young merfolk leaders. When the Council requests a demonstration of Eviana's mermaid powers, she finds herself with an opportunity to win back Brendan's heart. But her orders to train with a repulsive merman and the presence of an attractive new suitor challenges Eviana to embrace her leadership and resist temptation. Lucian is after her, and no one seems to understand why. Loyalties are tested as the casualties increase, showing Eviana that sometimes it is impossible to delineate between friends and enemies. Betrayal is the second book of The Syrenka Series trilogy following Eviana and her friends as they navigate through the challenges of existing in a secret world.",Eviana,Dumahl,female,Ruler,STABILITY,141,Eviana,"[('parents', 5), ('powers', 4), ('friends', 4), ('boyfriend', 2), ('heart', 2), ('family', 2), ('clan', 2), ('mother', 2), ('Clan', 2), ('father', 2)]","[('has', 4), ('meets', 3), ('grow', 2), ('do', 2), ('knows', 2), ('had', 2), ('returned', 1), ('finds', 1), ('loved', 1), ('interacts', 1)]","[('attracted', 3), ('forced', 1), ('finds', 1), ('challenges', 1), ('showing', 1), ('leaves', 1), ('treats', 1), ('blame', 1), ('destroy', 1), ('done', 1)]","[('leader', 5), ('able', 1), ('powerful', 1), ('character', 1), ('personality', 1), ('co', 1), ('-', 1)]"
29993270,"By both society's measure and her own, fifteen-year-old Zoe Mahar is pretty much a loser. Then one day she ducks into Spencerport Savings and Loan simply to get out of the rain--and witnesses a bank robbery gone horrifyingly wrong. The good news is that Zoe has a unique ability: she can play back time and repeat events. But it's not an unlimited deal--she can only jump 23 minutes, and her first playback creates an even more disastrous outcome. Zoe has only 10 tries to get it right before this particular 23 minutes becomes irreversible. In the process of trying to become the heroine she doesn't believe she can be, Zoe learns about herself and realizes that there is more to who she is than she thought.",Zoe,Mahar,female,Magician,MASTERY,16,Zoe,"[('playback', 1)]","[('has', 2), ('ducks', 1), ('gone', 1), ('play', 1), ('repeat', 1), ('jump', 1), ('creates', 1), ('believe', 1), ('learns', 1), ('realizes', 1)]",[],"[('loser', 1)]"
18465591,"A heartfelt, laugh-out-loud-funny story of romance, family, and self-discovery.
Alek Khederian should have guessed something was wrong when his parents took him to a restaurant. Everyone knows that Armenians never eat out. Between bouts of interrogating the waitress and criticizing the menu, Alek's parents announce that he'll be attending summer school in order to bring up his grades. Alek is sure this experience will be the perfect hellish end to his hellish freshman year of high school. He never could've predicted that he'd meet someone like Ethan.
Ethan is everything Alek wishes he were: confident, free-spirited, and irreverent. He can't believe a guy this cool wants to be his friend. And before long, it seems like Ethan wants to be more than friends. Alek has never thought about having a boyfriend--he's barely ever had a girlfriend--but maybe it's time to think again.",Ethan,,male,Lover,BELONGING,53,Ethan,"[('caring', 1), ('way', 1), ('mission', 1), ('geek', 1)]","[('uses', 2), ('treated', 2), ('gets', 2), ('wants', 1), ('give', 1), ('using', 1), ('use', 1), ('has', 1), ('started', 1), ('said', 1)]","[('beat', 1), ('blame', 1), ('kiss', 1)]","[('kind', 2), ('type', 1), ('more', 1), ('opposites', 1), ('sweet', 1), ('confident', 1), ('fun', 1), ('worse', 1), ('emotional', 1), ('jackass', 1)]"
13144421,"Olive Corbett is not crazy. Not anymore. 
She obediently takes her meds and stays under the radar at school. After ""the incident,"" Olive just wants to avoid any more trouble, so she knows the smartest thing is to stay clear of the new girl who is rumored to have quite the creepy past.
But there's no avoiding Miranda Vaile. As mousy Miranda edges her way into the popular group, right up to the side of queen bee Katie - and pushes the others right out - only Olive seems to notice that something strange is going on. Something almost . . . parasitic. Either Olive is losing her grip on reality, or Miranda Vaile is stealing Katie's life.
But who would ever believe crazy Olive, the girl who has a habit of letting her imagination run away with her? And what if Olive is the next target?
A chilling psychological thriller that tears through themes of identity, loss, and toxic friendship, Shift will leave readers guessing until the final pages.",Olive,Corbett,female,Everyman,BELONGING,55,Olive,"[('friend', 3), ('life', 2), ('meds', 1), ('grip', 1), ('imagination', 1), ('company', 1), ('brother', 1), ('suspicions', 1), ('relationship', 1), ('identity', 1)]","[('had', 2), ('see', 2), ('started', 2), ('takes', 1), ('stays', 1), ('wants', 1), ('knows', 1), ('seems', 1), ('losing', 1), ('stealing', 1)]","[('believe', 1), ('hated', 1), ('viewed', 1), ('reminded', 1), ('warned', 1), ('asks', 1), ('befriended', 1), ('draining', 1), ('slapping', 1)]","[('crazy', 2), ('target', 1), ('outcast', 1), ('character', 1), ('stupid', 1)]"
3043173,"Nach dem Untergang von Aramanth und dem Reich des Meisters ziehen die Geschwister Kestrel und Bowman mit ihrer Familie und den ubrigen Manth durch unwegsames Land. Sie sind auf der Suche nach ihrer unbekannten Heimat. Dort werden sie Schutz finden in dieser Zeit der Grausamkeit, dort wird alles gut werden - das prophezeihen die Traume von Ira Hath.
Doch der Weg dorthin ist hart und voller Gefahren, zudem weiss keiner, ob sie ihr Ziel erreichen werden, bevor der letzte, alles entscheidende Kampf zwischen Gut und Bose beginnt: Das geheimnisvolle Volk der Sanger wird sich dem zerstorerischen Morah entgegenstellen - und die Geschwister haben eine wichtige Aufgabe in diesem Kampf.",Familie,und,female,None,NONE,0,,,,,
